Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Helianthus ciliaris
2,4.9,3,1.4,0.2,Helianthus ciliaris
3,4.7,3.2,1.3,0.2,Helianthus ciliaris
4,4.6,3.1,1.5,0.2,Helianthus ciliaris
5,5,3.6,1.4,0.2,Helianthus ciliaris
6,5.4,3.9,1.7,0.4,Helianthus ciliaris
7,4.6,3.4,1.4,0.3,Helianthus ciliaris
8,5,3.4,1.5,0.2,Helianthus ciliaris
9,4.4,2.9,1.4,0.2,Helianthus ciliaris
10,4.9,3.1,1.5,0.1,Helianthus ciliaris
11,5.4,3.7,1.5,0.2,Helianthus ciliaris
12,4.8,3.4,1.6,0.2,Helianthus ciliaris
13,4.8,3,1.4,0.1,Helianthus ciliaris
14,4.3,3,1.1,0.1,Helianthus ciliaris
15,5.8,4,1.2,0.2,Helianthus ciliaris
16,5.7,4.4,1.5,0.4,Helianthus ciliaris
17,5.4,3.9,1.3,0.4,Helianthus ciliaris
18,5.1,3.5,1.4,0.3,Helianthus ciliaris
19,5.7,3.8,1.7,0.3,Helianthus ciliaris
20,5.1,3.8,1.5,0.3,Helianthus ciliaris
21,5.4,3.4,1.7,0.2,Helianthus ciliaris
22,5.1,3.7,1.5,0.4,Helianthus ciliaris
23,4.6,3.6,1,0.2,Helianthus ciliaris
24,5.1,3.3,1.7,0.5,Helianthus ciliaris
25,4.8,3.4,1.9,0.2,Helianthus ciliaris
26,5,3,1.6,0.2,Helianthus ciliaris
27,5,3.4,1.6,0.4,Helianthus ciliaris
28,5.2,3.5,1.5,0.2,Helianthus ciliaris
29,5.2,3.4,1.4,0.2,Helianthus ciliaris
30,4.7,3.2,1.6,0.2,Helianthus ciliaris
31,4.8,3.1,1.6,0.2,Helianthus ciliaris
32,5.4,3.4,1.5,0.4,Helianthus ciliaris
33,5.2,4.1,1.5,0.1,Helianthus ciliaris
34,5.5,4.2,1.4,0.2,Helianthus ciliaris
35,4.9,3.1,1.5,0.1,Helianthus ciliaris
36,5,3.2,1.2,0.2,Helianthus ciliaris
37,5.5,3.5,1.3,0.2,Helianthus ciliaris
38,4.9,3.1,1.5,0.1,Helianthus ciliaris
39,4.4,3,1.3,0.2,Helianthus ciliaris
40,5.1,3.4,1.5,0.2,Helianthus ciliaris
41,5,3.5,1.3,0.3,Helianthus ciliaris
42,4.5,2.3,1.3,0.3,Helianthus ciliaris
43,4.4,3.2,1.3,0.2,Helianthus ciliaris
44,5,3.5,1.6,0.6,Helianthus ciliaris
45,5.1,3.8,1.9,0.4,Helianthus ciliaris
46,4.8,3,1.4,0.3,Helianthus ciliaris
47,5.1,3.8,1.6,0.2,Helianthus ciliaris
48,4.6,3.2,1.4,0.2,Helianthus ciliaris
49,5.3,3.7,1.5,0.2,Helianthus ciliaris
50,5,3.3,1.4,0.2,Helianthus ciliaris
51,7,3.2,4.7,1.4,Helianthus Pauciflorus
52,6.4,3.2,4.5,1.5,Helianthus Pauciflorus
53,6.9,3.1,4.9,1.5,Helianthus Pauciflorus
54,5.5,2.3,4,1.3,Helianthus Pauciflorus
55,6.5,2.8,4.6,1.5,Helianthus Pauciflorus
56,5.7,2.8,4.5,1.3,Helianthus Pauciflorus
57,6.3,3.3,4.7,1.6,Helianthus Pauciflorus
58,4.9,2.4,3.3,1,Helianthus Pauciflorus
59,6.6,2.9,4.6,1.3,Helianthus Pauciflorus
60,5.2,2.7,3.9,1.4,Helianthus Pauciflorus
61,5,2,3.5,1,Helianthus Pauciflorus
62,5.9,3,4.2,1.5,Helianthus Pauciflorus
63,6,2.2,4,1,Helianthus Pauciflorus
64,6.1,2.9,4.7,1.4,Helianthus Pauciflorus
65,5.6,2.9,3.6,1.3,Helianthus Pauciflorus
66,6.7,3.1,4.4,1.4,Helianthus Pauciflorus
67,5.6,3,4.5,1.5,Helianthus Pauciflorus
68,5.8,2.7,4.1,1,Helianthus Pauciflorus
69,6.2,2.2,4.5,1.5,Helianthus Pauciflorus
70,5.6,2.5,3.9,1.1,Helianthus Pauciflorus
71,5.9,3.2,4.8,1.8,Helianthus Pauciflorus
72,6.1,2.8,4,1.3,Helianthus Pauciflorus
73,6.3,2.5,4.9,1.5,Helianthus Pauciflorus
74,6.1,2.8,4.7,1.2,Helianthus Pauciflorus
75,6.4,2.9,4.3,1.3,Helianthus Pauciflorus
76,6.6,3,4.4,1.4,Helianthus Pauciflorus
77,6.8,2.8,4.8,1.4,Helianthus Pauciflorus
78,6.7,3,5,1.7,Helianthus Pauciflorus
79,6,2.9,4.5,1.5,Helianthus Pauciflorus
80,5.7,2.6,3.5,1,Helianthus Pauciflorus
81,5.5,2.4,3.8,1.1,Helianthus Pauciflorus
82,5.5,2.4,3.7,1,Helianthus Pauciflorus
83,5.8,2.7,3.9,1.2,Helianthus Pauciflorus
84,6,2.7,5.1,1.6,Helianthus Pauciflorus
85,5.4,3,4.5,1.5,Helianthus Pauciflorus
86,6,3.4,4.5,1.6,Helianthus Pauciflorus
87,6.7,3.1,4.7,1.5,Helianthus Pauciflorus
88,6.3,2.3,4.4,1.3,Helianthus Pauciflorus
89,5.6,3,4.1,1.3,Helianthus Pauciflorus
90,5.5,2.5,4,1.3,Helianthus Pauciflorus
91,5.5,2.6,4.4,1.2,Helianthus Pauciflorus
92,6.1,3,4.6,1.4,Helianthus Pauciflorus
93,5.8,2.6,4,1.2,Helianthus Pauciflorus
94,5,2.3,3.3,1,Helianthus Pauciflorus
95,5.6,2.7,4.2,1.3,Helianthus Pauciflorus
96,5.7,3,4.2,1.2,Helianthus Pauciflorus
97,5.7,2.9,4.2,1.3,Helianthus Pauciflorus
98,6.2,2.9,4.3,1.3,Helianthus Pauciflorus
99,5.1,2.5,3,1.1,Helianthus Pauciflorus
100,5.7,2.8,4.1,1.3,Helianthus Pauciflorus
101,6.3,3.3,6,2.5,Helianthus debilis
102,5.8,2.7,5.1,1.9,Helianthus debilis
103,7.1,3,5.9,2.1,Helianthus debilis
104,6.3,2.9,5.6,1.8,Helianthus debilis
105,6.5,3,5.8,2.2,Helianthus debilis
106,7.6,3,6.6,2.1,Helianthus debilis
107,4.9,2.5,4.5,1.7,Helianthus debilis
108,7.3,2.9,6.3,1.8,Helianthus debilis
109,6.7,2.5,5.8,1.8,Helianthus debilis
110,7.2,3.6,6.1,2.5,Helianthus debilis
111,6.5,3.2,5.1,2,Helianthus debilis
112,6.4,2.7,5.3,1.9,Helianthus debilis
113,6.8,3,5.5,2.1,Helianthus debilis
114,5.7,2.5,5,2,Helianthus debilis
115,5.8,2.8,5.1,2.4,Helianthus debilis
116,6.4,3.2,5.3,2.3,Helianthus debilis
117,6.5,3,5.5,1.8,Helianthus debilis
118,7.7,3.8,6.7,2.2,Helianthus debilis
119,7.7,2.6,6.9,2.3,Helianthus debilis
120,6,2.2,5,1.5,Helianthus debilis
121,6.9,3.2,5.7,2.3,Helianthus debilis
122,5.6,2.8,4.9,2,Helianthus debilis
123,7.7,2.8,6.7,2,Helianthus debilis
124,6.3,2.7,4.9,1.8,Helianthus debilis
125,6.7,3.3,5.7,2.1,Helianthus debilis
126,7.2,3.2,6,1.8,Helianthus debilis
127,6.2,2.8,4.8,1.8,Helianthus debilis
128,6.1,3,4.9,1.8,Helianthus debilis
129,6.4,2.8,5.6,2.1,Helianthus debilis
130,7.2,3,5.8,1.6,Helianthus debilis
131,7.4,2.8,6.1,1.9,Helianthus debilis
132,7.9,3.8,6.4,2,Helianthus debilis
133,6.4,2.8,5.6,2.2,Helianthus debilis
134,6.3,2.8,5.1,1.5,Helianthus debilis
135,6.1,2.6,5.6,1.4,Helianthus debilis
136,7.7,3,6.1,2.3,Helianthus debilis
137,6.3,3.4,5.6,2.4,Helianthus debilis
138,6.4,3.1,5.5,1.8,Helianthus debilis
139,6,3,4.8,1.8,Helianthus debilis
140,6.9,3.1,5.4,2.1,Helianthus debilis
141,6.7,3.1,5.6,2.4,Helianthus debilis
142,6.9,3.1,5.1,2.3,Helianthus debilis
143,5.8,2.7,5.1,1.9,Helianthus debilis
144,6.8,3.2,5.9,2.3,Helianthus debilis
145,6.7,3.3,5.7,2.5,Helianthus debilis
146,6.7,3,5.2,2.3,Helianthus debilis
147,6.3,2.5,5,1.9,Helianthus debilis
148,6.5,3,5.2,2,Helianthus debilis
149,6.2,3.4,5.4,2.3,Helianthus debilis
150,5.9,3,5.1,1.8,Helianthus debilis
